"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-7201.73651735296,1186.02551522211,-6.07215985231504,1.61493538835564e-09
"Age",-122.637120357746,2.57226118854189,-47.6767759448505,1.3182535868702e-297
"KM",-0.0172575329990053,0.00130246388994485,-13.2499128246358,7.03807088759076e-38
"Fuel_TypeDiesel",590.504109330607,368.194611330563,1.60378259528751,0.108983116175396
"Fuel_TypePetrol",2373.57219661781,367.877231647493,6.45207692247781,1.50701374900439e-10
"HP",23.2934347105552,3.34066325392325,6.97269761721704,4.73802648040155e-12
"Quarterly_Tax",12.1158457439399,1.64916810353432,7.34664084150945,3.404722354348e-13
"Weight",19.0250126817559,1.1275526426684,16.8728376501627,2.19515642082564e-58
