"","Estimate","Std. Error","z value","Pr(>|z|)"
"ar1",-0.0551065668452508,0.0932627064044171,-0.59087462684485,0.554604427922564
"ar2",0.440866822459141,0.0801454260931504,5.50083571764578,3.77995284515937e-08
"ar3",0.449671832799842,0.0952931180071604,4.71882799307766,2.37207276077871e-06
"intercept",125767.084245273,10992.7212873451,11.4409417793624,2.61036412651445e-30
"D$t",1111.00631250884,186.469882242727,5.95810057445444,2.55186460976410e-09
"D$Month.2",-10410.0214389657,3760.25047224238,-2.76843830372763,0.00563256489250198
"D$Month.12",-28777.9652395862,3765.55384525574,-7.64242563569867,2.13167124912303e-14
"D$D9_11",-13194.8839509577,5666.6407102518,-2.32851959840795,0.0198845298116298
